country,confirmed,death,recovered,active,population
Guyana,4162,124,3228,810,782766
Haiti,9057,232,7429,1396,11263077
Honduras,96888,2669,40129,54090,9746117
Hungary,75321,1750,19032,54539,9769949
Iceland,4865,12,3873,980,361313
India,8184082,122111,7491513,570458,1366417754
Indonesia,410088,13869,337801,58418,270625568
Iraq,472630,10910,399655,62065,39309783
Ireland,61456,1913,23364,36179,4941444
Israel,314422,2539,301241,10642,9053300
Italy,679430,38618,289426,351386,60297396
Jamaica,9094,206,4510,4378,2948279
Japan,101327,1769,89765,9793,126264931
Jordan,72607,829,7600,64178,10101694
Kazakhstan,112418,1825,106400,4193,18513930
Kenya,55192,981,35876,18335,52573973
Kuwait,125926,779,116862,8285,4207083
Latvia,5894,71,1406,4417,1912789
Lebanon,81228,637,41624,38967,6855713
Lesotho,1953,44,975,934,2125268
Liberia,1426,82,1279,65,4937374
Libya,61095,857,35030,25208,6777452
Liechtenstein,533,3,347,183,38019
Lithuania,14824,165,4872,9787,2786844
Luxembourg,17134,152,10081,6901,619896
Madagascar,17111,244,16409,458,26969307
Malawi,5930,184,5323,423,18628747
Malaysia,31548,249,21248,10051,31949777
Maldives,11659,38,10814,807,530953
Mali,3554,136,2753,665,19658031
Malta,6042,62,4155,1825,502653
Marshall Islands,2,0,0,2,58791
Mauritania,7703,163,7433,107,4525696
Mauritius,441,10,398,33,1265711
Mexico,924962,91753,779371,53838,127575529
Moldova,76040,1785,55782,18473,2657637
Monaco,359,2,273,84,38964
Mongolia,346,0,313,33,3225167
Montenegro,18341,301,14084,3956,622137
Morocco,219084,3695,181275,34114,36471769
Mozambique,12869,92,10437,2340,30366036
Namibia,12935,133,11036,1766,2494530
Nepal,170743,937,131222,38584,28608710
Netherlands,357640,7459,5882,344299,17332850
New Zealand,1959,25,1857,77,4917000
Nicaragua,5514,156,4225,1133,6545502
Niger,1220,69,1137,14,23310715
Nigeria,62853,1144,58675,3034,200963599
North Macedonia,31572,994,20731,9847,2083459
Norway,20331,282,11863,8186,5347896
Oman,114434,1208,103060,10166,4974986
Pakistan,333970,6823,314555,12592,216565318
Panama,133598,2700,110552,20346,4246439
Papua New Guinea,589,7,575,7,8776109
Paraguay,63185,1404,42900,18881,7044636
Peru,900180,34411,822316,43453,32510453
Philippines,380729,7221,331046,42462,108116615
Poland,362731,5631,140280,216820,37970874
Portugal,141279,2507,80280,58492,10269417
Qatar,132556,232,129583,2741,2832067
Romania,241339,6968,172513,61858,19356544
Rwanda,5137,35,4879,223,12626950
San Marino,928,42,721,165,33860
Sao Tome and Principe,945,16,904,25,215056
Saudi Arabia,347282,5402,333842,8038,34268528
Senegal,15616,324,14853,439,16296364
Serbia,46954,820,0,46134,6944975
Seychelles,153,0,149,4,97625
Sierra Leone,2366,74,1800,492,7813215
Singapore,58015,28,57913,74,5703569
Slovenia,34307,338,12091,21878,2087946
Solomon Islands,8,0,4,4,669823
Somalia,3941,104,3185,652,15442905
South Africa,725452,19276,654182,51994,58558270
South Sudan,2905,58,1290,1557,11062113
Spain,1185678,35878,150376,999424,47076781
Sri Lanka,10663,20,4399,6244,21803000
Sudan,13804,837,6764,6203,42813238
Suriname,5203,111,5060,32,581372
Sweden,124355,5938,0,118417,10285453
Switzerland,154251,2297,65200,86754,8574832
Tajikistan,11017,82,10233,702,9321018
Tanzania,509,21,183,305,58005463
Thailand,3784,59,3592,133,69625582
Timor-Leste,30,0,29,1,1293119
Togo,2331,57,1660,614,8082366
Trinidad and Tobago,5692,108,4610,974,1394973
Tunisia,59813,1317,5032,53464,11694719
Turkey,375367,10252,323971,41144,83429615
Uganda,12495,111,7503,4881,44269594
Ukraine,399330,7399,165902,226029,44385155
United Arab Emirates,132629,495,128902,3232,9770529
United Kingdom,1014793,46645,2839,965309,66834405
Uruguay,3124,58,2560,506,3461734
Uzbekistan,66932,566,64235,2131,33580650
Vietnam,1180,35,1062,83,96462106
West Bank and Gaza,53520,483,46309,6728,4685306
Zambia,16432,349,15680,403,17861030
Zimbabwe,8367,243,7894,230,14645468
